,id,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
641,641,53,Travel_Frequently,1327,Research & Development,1,4,Life Sciences,1,4,Male,45,4,2,Research Scientist,3,Divorced,5295,21981,4,Y,No,18,3,3,80,1,13,3,3,6,4,1,2,0
642,642,46,Travel_Rarely,1354,Research & Development,14,5,Medical,1,3,Male,95,3,2,Research Scientist,2,Married,3102,12477,9,Y,Yes,11,3,3,80,1,17,0,2,17,14,4,11,0
643,643,27,Travel_Frequently,966,Research & Development,7,2,Life Sciences,1,4,Female,98,1,3,Manufacturing Director,3,Single,9981,5860,8,Y,Yes,12,3,4,80,0,9,0,3,4,3,0,3,1
644,644,36,Travel_Rarely,465,Research & Development,10,4,Life Sciences,1,2,Female,84,3,2,Manufacturing Director,4,Married,4877,4257,4,Y,No,13,3,3,80,1,7,1,3,3,2,0,2,0
645,645,41,Travel_Rarely,1382,Research & Development,1,2,Life Sciences,1,1,Male,40,3,3,Healthcare Representative,1,Single,7969,13554,7,Y,No,21,4,3,80,0,10,2,4,8,3,0,7,0
646,646,24,Travel_Rarely,1300,Research & Development,5,1,Life Sciences,1,4,Female,32,3,1,Laboratory Technician,4,Married,3140,7324,1,Y,Yes,15,3,1,80,1,4,3,3,4,0,0,0,1
647,647,31,Non-Travel,1229,Research & Development,21,3,Life Sciences,1,1,Male,74,4,1,Laboratory Technician,3,Married,2647,19246,0,Y,Yes,19,3,1,80,1,6,3,4,5,4,0,4,0
648,648,27,Travel_Rarely,1252,Research & Development,2,1,Life Sciences,1,3,Male,64,3,2,Manufacturing Director,1,Married,5770,10735,1,Y,No,18,3,2,80,2,6,2,3,6,3,0,3,0
649,649,41,Non-Travel,1398,Sales,10,4,Life Sciences,1,4,Male,96,3,1,Sales Representative,2,Married,2821,4821,7,Y,No,11,3,3,80,1,23,3,3,22,8,6,7,0
650,650,38,Travel_Rarely,1234,Research & Development,2,2,Life Sciences,1,2,Female,94,2,2,Manufacturing Director,4,Married,5208,15869,0,Y,No,11,3,1,80,1,12,2,2,11,8,3,10,0
651,651,30,Travel_Rarely,983,Sales,7,3,Medical,1,4,Male,99,4,3,Sales Executive,3,Single,7644,16130,1,Y,No,14,3,4,80,0,15,3,2,15,12,5,10,0
652,652,50,Travel_Rarely,1091,Sales,2,3,Marketing,1,2,Male,79,3,3,Sales Executive,4,Divorced,10761,2561,2,Y,No,12,3,3,80,1,19,5,3,4,3,0,2,0
653,653,36,Travel_Rarely,945,Research & Development,13,2,Medical,1,4,Male,40,3,4,Research Director,1,Married,15686,7259,8,Y,No,16,3,2,80,1,22,3,3,17,12,15,15,0
654,654,38,Travel_Rarely,1462,Sales,2,2,Medical,1,1,Male,82,2,2,Sales Executive,2,Married,5577,25949,4,Y,No,19,3,3,80,1,10,2,4,6,4,0,3,0
655,655,37,Travel_Frequently,201,Research & Development,2,2,Medical,1,1,Male,98,3,3,Research Director,2,Divorced,12185,12315,0,Y,Yes,13,3,4,80,2,18,2,3,17,13,6,10,0
656,656,19,Travel_Rarely,1258,Sales,24,3,Medical,1,2,Male,73,2,1,Sales Representative,3,Single,1091,15881,1,Y,No,14,3,2,80,0,1,3,3,1,0,0,0,1
657,657,39,Travel_Frequently,1189,Sales,2,3,Medical,1,1,Male,98,3,2,Sales Executive,4,Married,5390,13596,5,Y,No,13,3,1,80,1,13,2,3,9,6,1,8,0
658,658,31,Travel_Rarely,1398,Research & Development,2,4,Medical,1,3,Male,35,3,1,Research Scientist,4,Single,2660,6153,0,Y,No,18,3,4,80,0,3,2,3,2,2,2,2,0
659,659,23,Travel_Rarely,667,Research & Development,5,1,Life Sciences,1,3,Male,96,1,1,Laboratory Technician,4,Married,15202,16154,1,Y,Yes,13,3,4,80,2,4,2,4,3,2,0,2,1
660,660,28,Non-Travel,302,Sales,5,5,Marketing,1,3,Female,44,2,2,Sales Executive,4,Single,5304,24118,6,Y,Yes,13,3,3,80,0,7,2,2,1,0,0,0,1
661,661,49,Non-Travel,950,Research & Development,5,3,Medical,1,1,Male,73,3,2,Manufacturing Director,4,Divorced,5957,4161,2,Y,No,20,4,4,80,2,18,2,2,16,13,1,9,0
662,662,29,Travel_Rarely,350,Research & Development,8,3,Life Sciences,1,2,Male,57,4,1,Research Scientist,4,Divorced,2272,25258,4,Y,No,16,3,1,80,1,7,3,3,5,3,0,4,0
663,663,39,Travel_Rarely,933,Research & Development,14,3,Life Sciences,1,3,Female,84,3,3,Manufacturing Director,4,Single,9613,4223,0,Y,No,11,3,4,80,0,9,2,3,8,3,7,1,0
664,664,21,Travel_Frequently,996,Research & Development,1,1,Other,1,2,Female,51,3,1,Research Scientist,3,Single,2694,26551,1,Y,No,18,3,3,80,0,1,3,3,1,0,0,0,1
665,665,51,Travel_Rarely,1127,Research & Development,2,4,Life Sciences,1,4,Male,45,2,1,Laboratory Technician,4,Single,2207,10557,2,Y,No,20,4,3,80,0,12,5,3,7,6,5,7,1
666,666,47,Non-Travel,147,Research & Development,3,3,Life Sciences,1,4,Male,81,3,4,Manager,1,Single,15202,17000,9,Y,Yes,16,3,4,80,0,26,2,4,6,5,0,3,0
667,667,46,Travel_Rarely,1362,Research & Development,18,3,Medical,1,3,Male,56,4,3,Manufacturing Director,4,Married,7978,14075,2,Y,No,11,3,4,80,0,23,2,4,2,2,2,2,0
668,668,37,Travel_Rarely,472,Research & Development,11,3,Technical Degree,1,3,Male,83,3,1,Research Scientist,3,Married,3629,8952,1,Y,Yes,13,3,3,80,1,8,2,3,8,7,3,5,0
669,669,47,Travel_Rarely,827,Sales,2,4,Marketing,1,3,Male,41,3,2,Sales Executive,3,Single,6877,3156,7,Y,Yes,14,3,2,80,0,10,3,3,8,0,7,6,1
670,670,36,Travel_Rarely,1445,Research & Development,3,2,Life Sciences,1,4,Male,95,3,2,Research Scientist,3,Married,4284,11737,2,Y,No,17,3,3,80,1,8,4,3,3,2,0,2,0
671,671,31,Travel_Rarely,117,Sales,9,3,Medical,1,4,Male,78,3,2,Sales Executive,4,Divorced,5228,14394,1,Y,No,22,4,1,80,1,13,2,3,13,9,4,8,0
672,672,36,Travel_Rarely,658,Research & Development,4,3,Life Sciences,1,3,Male,41,3,1,Research Scientist,4,Divorced,2559,11162,8,Y,No,23,4,1,80,2,4,2,2,1,0,0,0,0
673,673,40,Travel_Rarely,465,Sales,2,1,Life Sciences,1,3,Male,56,3,4,Manager,4,Single,16606,23016,1,Y,No,14,3,4,80,0,21,3,2,21,18,11,7,0
674,674,40,Travel_Frequently,890,Research & Development,5,3,Life Sciences,1,1,Male,44,1,1,Research Scientist,2,Single,2154,6208,8,Y,Yes,14,3,3,80,0,6,3,2,4,3,1,3,1
675,675,52,Travel_Rarely,574,Research & Development,5,4,Medical,1,2,Female,42,3,5,Research Director,2,Married,19859,13938,2,Y,No,13,3,3,80,1,31,2,2,30,9,9,9,0
676,676,20,Travel_Rarely,458,Sales,21,2,Life Sciences,1,1,Male,55,3,1,Sales Representative,2,Single,2096,2727,1,Y,No,16,3,4,80,0,1,3,1,1,0,0,0,0
677,677,49,Travel_Rarely,141,Research & Development,8,3,Medical,1,1,Male,79,3,4,Research Director,4,Single,17328,17363,3,Y,Yes,18,3,2,80,0,22,2,3,19,7,6,8,0
678,678,47,Travel_Rarely,252,Research & Development,27,3,Medical,1,2,Male,96,3,3,Research Scientist,3,Single,13245,15696,7,Y,No,14,3,4,80,0,17,2,1,5,2,1,3,0
679,679,29,Travel_Frequently,977,Research & Development,2,2,Life Sciences,1,1,Female,77,3,2,Manufacturing Director,3,Divorced,4364,5288,3,Y,No,15,3,4,80,1,11,3,1,2,2,2,1,0
680,680,29,Travel_Rarely,1435,Research & Development,23,3,Life Sciences,1,4,Male,84,2,1,Research Scientist,4,Single,3867,10205,3,Y,No,14,3,3,80,0,4,1,2,2,2,2,2,0
681,681,26,Travel_Rarely,1485,Research & Development,3,3,Medical,1,2,Female,67,3,1,Research Scientist,3,Divorced,2725,22650,0,Y,No,14,3,2,80,1,8,1,3,8,7,1,2,0
682,682,21,Travel_Rarely,447,Research & Development,17,1,Life Sciences,1,4,Male,98,3,1,Research Scientist,4,Married,2936,16374,1,Y,Yes,13,3,3,80,0,4,3,2,4,1,0,2,0
683,683,28,Travel_Frequently,891,Research & Development,1,3,Life Sciences,1,3,Male,49,4,2,Research Scientist,2,Married,4787,23159,0,Y,No,13,3,2,80,0,4,2,3,3,2,0,2,0
684,684,34,Travel_Rarely,849,Research & Development,2,3,Life Sciences,1,3,Male,39,3,1,Research Scientist,3,Married,2044,15850,1,Y,No,21,4,2,80,3,1,3,3,1,0,0,0,0
685,685,27,Travel_Rarely,672,Research & Development,6,2,Other,1,3,Male,41,2,2,Healthcare Representative,3,Married,6347,9489,0,Y,No,12,3,3,80,0,9,3,3,8,7,7,7,0
686,686,29,Travel_Rarely,352,Research & Development,3,3,Life Sciences,1,1,Male,59,2,1,Research Scientist,3,Single,2008,14561,1,Y,No,11,3,3,80,0,1,3,3,1,0,0,0,1
687,687,35,Travel_Rarely,984,Research & Development,2,4,Other,1,2,Male,81,4,2,Laboratory Technician,2,Married,4037,7246,0,Y,No,15,3,4,80,1,12,3,3,9,7,7,7,0
688,688,33,Travel_Rarely,1355,Sales,4,5,Marketing,1,3,Female,86,3,2,Sales Executive,4,Married,6134,8489,1,Y,No,13,3,2,80,0,14,5,3,14,7,0,9,0
689,689,58,Travel_Frequently,329,Research & Development,7,3,Life Sciences,1,4,Male,86,2,1,Research Scientist,4,Married,2387,26537,4,Y,No,14,3,4,80,1,12,2,2,8,7,2,7,0
690,690,44,Travel_Rarely,1117,Research & Development,1,4,Medical,1,1,Female,63,3,1,Laboratory Technician,4,Married,3294,21509,3,Y,Yes,14,3,3,80,1,10,1,3,6,5,1,3,0
691,691,38,Travel_Rarely,885,Research & Development,9,1,Life Sciences,1,4,Female,60,4,1,Laboratory Technician,4,Married,3067,16031,3,Y,No,13,3,4,80,1,8,2,3,6,3,1,2,0
692,692,25,Travel_Rarely,1117,Research & Development,1,2,Medical,1,4,Male,95,3,2,Manufacturing Director,1,Married,5993,22573,1,Y,Yes,12,3,4,80,0,6,2,2,6,7,1,5,0
693,693,29,Travel_Rarely,427,Research & Development,10,4,Medical,1,2,Male,94,3,1,Laboratory Technician,2,Divorced,2313,10205,2,Y,No,20,4,3,80,1,7,4,3,2,1,2,2,0
694,694,35,Travel_Rarely,921,Research & Development,8,2,Medical,1,2,Female,92,2,2,Manufacturing Director,4,Divorced,4877,17205,4,Y,No,20,4,3,80,1,5,2,3,3,2,2,2,0
695,695,37,Travel_Rarely,621,Research & Development,12,4,Medical,1,3,Male,62,3,2,Healthcare Representative,3,Married,6928,636,4,Y,Yes,15,3,2,80,1,13,3,4,7,7,7,7,0
696,696,26,Non-Travel,1168,Research & Development,2,3,Life Sciences,1,4,Male,56,3,2,Laboratory Technician,4,Married,5772,20440,0,Y,No,18,3,2,80,0,10,3,2,9,7,0,7,0
697,697,33,Travel_Rarely,653,Research & Development,1,3,Life Sciences,1,1,Female,54,3,2,Research Scientist,4,Single,4447,9752,0,Y,No,14,3,3,80,0,9,0,3,7,2,0,7,0
698,698,35,Travel_Rarely,559,Sales,19,3,Marketing,1,4,Female,74,3,1,Sales Representative,1,Married,3117,2253,1,Y,No,14,3,4,80,1,3,3,3,3,2,0,2,0
699,699,37,Non-Travel,809,Sales,15,3,Medical,1,3,Male,52,3,2,Sales Executive,1,Divorced,4648,18787,4,Y,No,14,3,4,80,1,4,2,3,1,0,0,0,0
700,700,55,Travel_Rarely,989,Sales,5,4,Medical,1,4,Female,78,3,2,Sales Executive,2,Single,6244,7824,7,Y,No,12,3,3,80,0,9,2,3,6,4,1,4,0
701,701,29,Travel_Rarely,878,Research & Development,15,2,Life Sciences,1,2,Male,73,3,3,Manufacturing Director,3,Married,8722,14363,1,Y,No,14,3,2,80,1,10,2,3,10,9,1,7,0
702,702,29,Travel_Rarely,575,Research & Development,5,3,Medical,1,3,Female,83,3,1,Research Scientist,1,Married,2451,15170,0,Y,No,14,3,4,80,1,4,0,3,3,2,1,2,0
703,703,42,Travel_Frequently,630,Research & Development,28,4,Medical,1,4,Female,59,3,4,Manager,3,Divorced,16885,22604,2,Y,No,11,3,4,80,1,24,2,2,20,8,4,7,0
704,704,28,Travel_Rarely,775,Research & Development,2,3,Other,1,3,Female,51,3,1,Laboratory Technician,1,Single,3629,18103,1,Y,No,11,3,4,80,0,3,3,2,3,2,0,2,0
705,705,37,Travel_Rarely,130,Research & Development,25,4,Life Sciences,1,2,Male,56,4,2,Healthcare Representative,4,Married,9715,12368,3,Y,Yes,14,3,4,80,1,16,2,3,0,0,0,0,0
706,706,41,Travel_Frequently,750,Research & Development,20,4,Medical,1,1,Male,51,3,5,Manager,2,Married,19537,3835,2,Y,No,13,3,3,80,1,10,4,4,5,2,2,3,0
707,707,54,Travel_Rarely,1096,Research & Development,7,2,Medical,1,4,Female,62,3,3,Healthcare Representative,4,Married,10496,13888,2,Y,Yes,19,3,2,80,1,24,3,3,5,3,0,3,0
708,708,26,Travel_Rarely,806,Research & Development,1,1,Technical Degree,1,4,Female,84,3,1,Research Scientist,3,Married,2559,17802,0,Y,No,12,3,4,80,1,8,2,3,7,7,6,7,0
709,709,25,Travel_Rarely,984,Research & Development,1,1,Medical,1,3,Male,75,3,1,Laboratory Technician,3,Single,2074,7108,1,Y,No,13,3,4,80,0,5,3,3,5,0,0,2,0
710,710,44,Travel_Frequently,1319,Research & Development,8,1,Life Sciences,1,2,Female,67,3,4,Manufacturing Director,3,Single,13341,22930,5,Y,No,19,3,4,80,0,29,3,3,22,8,4,10,0
711,711,29,Travel_Rarely,1206,Research & Development,7,3,Medical,1,2,Male,89,3,1,Research Scientist,4,Married,2976,11781,1,Y,No,13,3,2,80,0,1,5,3,1,0,0,0,1
712,712,31,Travel_Rarely,427,Research & Development,2,3,Medical,1,4,Male,37,2,1,Research Scientist,1,Divorced,2886,13531,1,Y,No,15,3,1,80,1,6,5,2,5,4,4,4,0
713,713,55,Travel_Rarely,991,Sales,1,3,Technical Degree,1,4,Female,30,3,4,Manager,4,Married,17856,9125,1,Y,No,16,3,4,80,1,38,2,3,37,10,1,6,0
714,714,21,Travel_Rarely,622,Research & Development,8,1,Life Sciences,1,3,Male,89,2,1,Research Scientist,4,Single,1261,16019,1,Y,No,13,3,2,80,0,1,3,3,1,0,0,0,0
715,715,19,Travel_Rarely,1330,Research & Development,2,1,Life Sciences,1,3,Male,98,3,1,Laboratory Technician,4,Single,1675,19305,1,Y,No,15,3,4,80,0,1,2,3,1,1,1,0,0
716,716,25,Non-Travel,1480,Research & Development,1,4,Medical,1,4,Male,57,3,2,Manufacturing Director,1,Married,6146,5640,1,Y,No,13,3,2,80,1,6,2,2,6,5,1,2,0
717,717,32,Non-Travel,628,Research & Development,28,2,Life Sciences,1,1,Male,58,3,1,Laboratory Technician,4,Married,2207,4306,1,Y,No,11,3,4,80,2,4,1,3,4,2,1,3,0
718,718,35,Travel_Rarely,472,Research & Development,5,3,Medical,1,3,Male,71,3,2,Research Scientist,3,Divorced,4941,2851,2,Y,Yes,15,3,2,80,1,9,3,3,3,2,1,2,0
719,719,21,Travel_Rarely,828,Sales,10,1,Technical Degree,1,2,Male,99,2,1,Sales Representative,4,Single,2321,24525,0,Y,Yes,17,3,4,80,0,3,3,2,2,2,2,2,0
720,720,27,Travel_Rarely,836,Research & Development,16,4,Life Sciences,1,3,Male,49,3,1,Laboratory Technician,3,Married,2661,7747,1,Y,No,14,3,1,80,1,1,6,2,1,0,0,0,0
721,721,37,Travel_Frequently,1002,Research & Development,2,4,Life Sciences,1,1,Male,62,3,2,Manufacturing Director,4,Single,5593,4235,3,Y,Yes,13,3,1,80,0,10,2,1,6,4,1,4,0
722,722,37,Travel_Frequently,715,Sales,8,1,Life Sciences,1,2,Male,99,2,1,Sales Representative,3,Married,2741,26009,3,Y,Yes,14,3,4,80,0,7,2,3,3,2,1,0,1
723,723,33,Travel_Rarely,1381,Sales,1,5,Life Sciences,1,3,Male,98,1,4,Manager,1,Single,17328,15891,0,Y,No,15,3,4,80,0,17,2,3,16,7,5,15,0
724,724,37,Travel_Rarely,946,Research & Development,8,4,Technical Degree,1,4,Male,73,3,1,Research Scientist,4,Single,2932,20619,6,Y,No,11,3,4,80,0,3,5,3,0,0,0,0,1
725,725,49,Travel_Rarely,1223,Research & Development,1,3,Life Sciences,1,2,Male,98,3,1,Laboratory Technician,1,Married,2760,18698,1,Y,Yes,15,3,3,80,0,8,2,4,8,6,0,7,0
726,726,26,Travel_Rarely,663,Research & Development,6,3,Technical Degree,1,3,Female,56,3,1,Research Scientist,3,Divorced,3196,6462,5,Y,No,14,3,1,80,1,8,6,1,6,4,0,5,0
727,727,34,Travel_Rarely,1278,Sales,3,4,Life Sciences,1,2,Male,93,3,2,Sales Executive,3,Divorced,5209,5594,1,Y,No,17,3,4,80,3,5,5,2,5,2,0,2,0
728,728,21,Travel_Frequently,1224,Sales,1,3,Life Sciences,1,3,Male,38,3,1,Sales Representative,3,Married,2678,21222,1,Y,No,11,3,2,80,1,3,3,3,3,2,1,2,0
729,729,29,Travel_Rarely,289,Human Resources,9,3,Life Sciences,1,1,Male,89,2,1,Human Resources,4,Single,2785,13556,1,Y,No,11,3,1,80,0,1,0,3,1,0,0,0,1
730,730,30,Travel_Rarely,1434,Sales,22,2,Medical,1,4,Male,74,3,2,Sales Executive,1,Single,6146,25178,1,Y,Yes,24,4,4,80,0,10,2,3,10,8,7,8,1
731,731,58,Travel_Rarely,1351,Research & Development,21,4,Technical Degree,1,4,Female,59,3,5,Research Director,1,Single,19328,12154,5,Y,No,14,3,4,80,0,30,2,3,3,2,0,2,0
732,732,40,Travel_Frequently,570,Research & Development,26,3,Medical,1,4,Male,76,3,1,Laboratory Technician,4,Single,2070,19737,4,Y,No,20,4,4,80,0,13,2,4,9,7,4,8,0
733,733,31,Travel_Rarely,827,Sales,8,4,Life Sciences,1,1,Female,36,2,2,Sales Executive,2,Married,6179,23361,0,Y,Yes,14,3,2,80,2,10,2,2,9,7,1,7,0
734,734,45,Travel_Rarely,775,Research & Development,2,3,Life Sciences,1,2,Female,78,3,3,Manufacturing Director,3,Single,8853,24483,4,Y,No,13,3,1,80,0,18,3,3,6,5,0,4,0
735,735,59,Travel_Rarely,829,Research & Development,2,2,Medical,1,4,Female,86,3,5,Research Director,4,Single,19238,3334,4,Y,No,15,3,3,80,0,25,2,3,15,11,4,7,0
736,736,34,Travel_Rarely,587,Research & Development,1,4,Life Sciences,1,2,Male,93,2,1,Laboratory Technician,1,Married,3755,6209,0,Y,No,13,3,2,80,1,7,2,2,6,1,0,4,0
737,737,31,Travel_Rarely,334,Sales,2,4,Medical,1,4,Male,77,3,1,Sales Representative,4,Single,2625,20763,0,Y,Yes,14,3,4,80,0,4,3,4,3,2,2,2,0
738,738,27,Travel_Rarely,895,Research & Development,12,3,Life Sciences,1,4,Female,85,2,1,Research Scientist,4,Married,2244,2851,1,Y,Yes,12,3,2,80,1,6,3,2,6,3,1,3,0
739,739,58,Non-Travel,1258,Research & Development,7,4,Medical,1,3,Female,48,2,3,Healthcare Representative,1,Single,8722,7102,7,Y,No,11,3,1,80,0,38,2,3,10,0,0,8,0
740,740,35,Travel_Rarely,827,Research & Development,21,3,Medical,1,4,Female,61,3,1,Research Scientist,3,Married,2886,12227,1,Y,No,11,3,1,80,0,5,3,2,5,3,1,3,0
741,741,38,Travel_Rarely,1157,Research & Development,8,2,Life Sciences,1,2,Male,84,3,2,Manufacturing Director,2,Divorced,5993,19383,7,Y,No,13,3,1,80,3,7,2,3,5,4,0,4,0
742,742,39,Travel_Rarely,1131,Sales,2,3,Life Sciences,1,4,Female,79,1,2,Sales Executive,1,Single,12169,21378,0,Y,No,22,4,4,80,0,21,3,3,21,6,3,14,0
743,743,45,Travel_Frequently,1302,Research & Development,7,5,Life Sciences,1,1,Male,46,3,1,Laboratory Technician,3,Single,2132,7530,2,Y,Yes,13,3,2,80,0,8,2,2,3,2,0,2,0
744,744,27,Travel_Rarely,563,Research & Development,5,4,Other,1,4,Male,84,2,1,Laboratory Technician,3,Single,4834,20750,0,Y,No,12,3,4,80,0,4,2,3,3,2,1,2,0
745,745,37,Travel_Rarely,1332,Research & Development,5,3,Medical,1,4,Female,41,2,2,Manufacturing Director,1,Divorced,4777,26999,5,Y,No,14,3,2,80,2,17,4,3,1,0,0,0,1
746,746,19,Travel_Rarely,734,Research & Development,20,2,Life Sciences,1,3,Female,75,3,1,Laboratory Technician,4,Single,1010,12127,1,Y,Yes,14,3,2,80,0,1,5,2,1,0,0,0,1
747,747,25,Travel_Rarely,884,Sales,2,2,Medical,1,3,Male,83,3,2,Sales Executive,2,Married,6272,2539,0,Y,No,13,3,3,80,2,6,5,2,5,4,0,4,0
748,748,30,Non-Travel,775,Research & Development,1,3,Other,1,4,Female,68,4,2,Manufacturing Director,4,Single,6162,3140,3,Y,No,15,3,4,80,0,12,3,4,9,7,1,7,0
749,749,49,Travel_Rarely,1418,Research & Development,20,3,Medical,1,4,Male,76,2,3,Healthcare Representative,2,Married,7756,8952,0,Y,No,18,3,1,80,1,7,3,2,6,2,1,4,0
750,750,40,Travel_Rarely,1448,Research & Development,1,2,Life Sciences,1,4,Female,80,3,4,Healthcare Representative,3,Married,13320,14842,1,Y,No,13,3,4,80,1,22,3,3,22,10,11,10,0
751,751,26,Travel_Frequently,810,Research & Development,18,3,Life Sciences,1,4,Male,60,3,1,Laboratory Technician,1,Married,3669,11992,3,Y,Yes,11,3,1,80,1,8,3,3,3,2,1,2,0
752,752,44,Travel_Frequently,532,Research & Development,1,2,Medical,1,1,Female,81,2,5,Research Director,4,Single,1859,7160,4,Y,No,12,3,3,80,0,22,2,3,10,0,7,0,0
753,753,40,Travel_Rarely,1343,Research & Development,25,3,Life Sciences,1,1,Female,80,4,2,Research Scientist,4,Married,1091,4761,3,Y,No,22,4,1,80,1,15,3,3,1,0,1,0,0
754,754,19,Travel_Rarely,944,Research & Development,9,1,Life Sciences,1,2,Female,69,3,1,Research Scientist,3,Single,2693,26589,1,Y,No,12,3,2,80,0,1,4,4,1,0,1,0,0
755,755,40,Travel_Rarely,370,Research & Development,1,3,Life Sciences,1,3,Male,32,2,2,Healthcare Representative,3,Single,4148,10415,1,Y,No,15,3,4,80,0,5,5,3,5,4,0,3,0
756,756,36,Travel_Rarely,1277,Research & Development,19,3,Medical,1,2,Female,83,4,1,Laboratory Technician,3,Married,3955,14074,1,Y,No,16,3,1,80,1,7,2,3,7,7,0,7,0
757,757,46,Travel_Rarely,526,Sales,2,5,Life Sciences,1,3,Male,96,3,3,Sales Executive,1,Divorced,10453,25594,3,Y,No,11,3,2,80,1,23,4,2,7,7,4,2,0
758,758,44,Travel_Rarely,1450,Sales,2,3,Life Sciences,1,3,Male,92,3,2,Sales Executive,1,Married,5175,9606,2,Y,No,12,3,4,80,1,15,3,3,5,3,0,3,0
759,759,32,Travel_Rarely,1157,Sales,9,3,Life Sciences,1,3,Male,62,3,3,Sales Executive,4,Single,9071,20335,3,Y,Yes,17,3,1,80,0,10,2,4,6,5,1,5,0
760,760,25,Travel_Rarely,991,Sales,4,1,Marketing,1,3,Female,54,4,1,Sales Representative,4,Married,2014,5518,1,Y,No,11,3,4,80,1,2,3,3,2,2,2,2,0
761,761,34,Travel_Frequently,792,Sales,3,3,Marketing,1,2,Male,43,2,2,Sales Executive,4,Single,4108,4814,0,Y,No,12,3,4,80,0,15,4,3,14,9,4,11,0
762,762,22,Travel_Rarely,1229,Research & Development,1,1,Life Sciences,1,3,Female,88,2,1,Research Scientist,3,Married,2450,13888,1,Y,No,16,3,1,80,0,4,2,3,4,3,0,3,1
763,763,39,Travel_Frequently,1401,Research & Development,13,3,Life Sciences,1,3,Female,85,3,1,Research Scientist,1,Single,2580,23293,1,Y,No,14,3,4,80,0,13,2,3,13,9,4,7,0
764,764,18,Travel_Rarely,1206,Research & Development,4,3,Medical,1,1,Male,54,2,1,Laboratory Technician,2,Single,2323,17001,1,Y,No,22,4,3,80,0,1,3,3,1,0,0,1,0
765,765,45,Travel_Rarely,827,Sales,26,3,Marketing,1,4,Female,100,3,3,Sales Executive,4,Married,8789,9096,1,Y,No,17,3,4,80,1,10,2,3,10,0,7,8,0
766,766,35,Travel_Rarely,991,Research & Development,5,3,Medical,1,4,Male,78,2,1,Laboratory Technician,2,Married,2404,16376,1,Y,No,17,3,3,80,1,1,5,3,1,0,0,0,0
767,767,55,Travel_Rarely,1162,Sales,21,2,Life Sciences,1,3,Male,78,3,1,Sales Representative,1,Divorced,2863,18203,8,Y,No,14,3,4,80,1,4,2,3,1,0,0,0,0
768,768,37,Travel_Rarely,691,Sales,1,4,Medical,1,4,Female,32,3,2,Sales Executive,3,Divorced,6306,6462,7,Y,No,22,4,4,80,1,15,3,3,13,7,1,12,0
769,769,33,Travel_Rarely,1302,Research & Development,8,2,Technical Degree,1,3,Male,55,3,3,Healthcare Representative,1,Divorced,10938,15813,3,Y,No,11,3,3,80,0,12,3,3,5,4,1,3,0
770,770,50,Travel_Rarely,898,Research & Development,13,4,Life Sciences,1,3,Male,81,3,5,Research Director,1,Divorced,19189,19562,7,Y,No,13,3,4,80,1,28,2,2,8,7,1,7,0
771,771,44,Travel_Rarely,587,Research & Development,21,2,Life Sciences,1,3,Male,51,2,1,Laboratory Technician,3,Married,3477,16090,1,Y,Yes,12,3,4,80,1,10,3,3,10,8,0,8,0
772,772,43,Travel_Rarely,688,Research & Development,3,4,Medical,1,3,Female,67,3,4,Research Director,1,Divorced,13458,15881,9,Y,No,18,3,4,80,1,22,3,4,2,2,2,2,0
773,773,29,Travel_Frequently,604,Research & Development,15,1,Medical,1,3,Female,37,3,1,Research Scientist,3,Divorced,2662,7975,1,Y,No,11,3,3,80,1,10,2,2,10,8,0,8,0
774,774,30,Travel_Rarely,775,Sales,1,4,Other,1,2,Male,61,2,2,Sales Executive,3,Divorced,6804,11761,7,Y,No,17,3,1,80,3,7,2,3,3,2,1,2,0
775,775,37,Travel_Rarely,217,Research & Development,2,3,Life Sciences,1,3,Female,39,4,2,Manufacturing Director,4,Single,4877,22002,6,Y,No,22,4,3,80,0,5,6,2,1,0,0,0,0
776,776,39,Travel_Frequently,833,Sales,13,4,Life Sciences,1,3,Male,80,3,2,Sales Executive,2,Single,5768,25353,2,Y,Yes,21,4,2,80,0,10,3,2,3,2,1,2,0
777,777,26,Travel_Rarely,181,Research & Development,2,1,Life Sciences,1,3,Male,69,3,1,Laboratory Technician,2,Single,2451,4981,1,Y,No,24,4,1,80,0,1,3,3,1,1,1,0,0
778,778,36,Travel_Rarely,1179,Sales,28,2,Other,1,2,Female,32,3,2,Sales Executive,4,Married,5228,11652,5,Y,No,13,3,4,80,1,10,3,3,5,4,1,3,0
779,779,38,Non-Travel,1195,Sales,14,4,Medical,1,4,Male,61,3,2,Sales Executive,1,Divorced,5087,24208,0,Y,No,11,3,2,80,2,18,3,3,17,7,11,14,0
780,780,37,Travel_Rarely,889,Research & Development,2,5,Life Sciences,1,4,Male,51,4,2,Healthcare Representative,1,Single,6538,8891,1,Y,No,12,3,4,80,0,10,3,3,10,0,7,8,0
